pop:	 100
pm:	 0.01
pr:	 0.3

tsize:	 2
max_gen: 2500
obj:	 1000
cap:	 12747

Weight	Profit
48	27
12	34
50	5
42	14
14	15
1	47
10	44
41	48
12	39
11	18
7	3
24	41
37	40
50	44
26	12
3	32
23	17
22	21
47	14
13	1
22	21
1	24
32	1
4	34
38	8
42	14
11	4
31	41
44	36
18	21
50	35
1	23
31	9
50	50
19	7
50	1
19	34
40	17
33	23
42	3
15	7
7	1
31	30
5	12
42	10
5	34
20	5
45	46
2	10
38	36
22	24
15	48
26	36
26	39
48	14
3	18
5	43
26	19
14	33
18	32
14	16
15	26
2	42
13	28
29	13
1	1
28	8
20	46
46	5
36	13
41	8
48	19
29	19
31	21
4	37
5	41
36	15
36	8
42	19
8	8
40	34
35	18
27	3
15	24
31	24
48	28
24	9
15	25
13	48
31	7
49	5
39	46
12	39
27	18
17	27
26	35
19	50
13	7
20	27
27	8
46	6
31	11
11	2
24	2
19	50
32	28
14	11
11	45
32	21
48	21
2	3
26	49
8	29
1	20
12	49
6	27
45	17
5	17
40	22
43	14
39	4
1	27
26	1
39	9
46	8
43	30
13	49
18	15
7	45
20	3
4	9
33	3
17	7
18	16
48	33
15	10
19	41
23	38
38	10
33	38
10	11
31	11
18	35
4	41
28	32
20	27
22	15
38	47
16	2
1	44
4	40
16	47
14	29
30	2
47	26
18	27
11	9
41	25
34	15
30	36
35	5
33	32
36	15
25	48
16	39
26	1
42	6
23	8
46	29
30	42
1	12
1	21
7	32
3	36
40	21
12	15
3	22
19	1
5	29
3	2
48	44
19	14
41	5
31	20
4	27
1	9
29	49
12	41
6	14
10	49
30	36
13	32
36	48
29	49
45	48
27	22
19	15
36	30
3	38
30	43
5	28
42	44
20	36
31	15
24	31
30	28
36	5
9	28
21	14
27	19
20	1
32	19
45	7
30	23
22	15
22	36
19	20
29	13
39	44
39	39
11	46
19	28
5	32
26	19
25	27
1	46
16	40
42	7
13	48
50	22
12	1
46	30
1	44
24	7
13	44
44	14
36	9
29	3
42	15
36	17
10	9
35	14
27	2
15	41
39	13
26	49
12	43
37	24
44	9
49	11
42	40
31	15
31	18
47	50
48	13
14	7
40	48
15	37
21	47
36	4
32	24
20	42
26	9
30	4
2	42
